,rainfall_mm,snow_depth_cm,air_temp,max_temp,min_temp,min_ground_temp
67,-1.0,7.0,-10.3,-7.8,-11.7,-13.2
68,16.3,7.0,-9.0,-6.9,-11.0,-12.8
69,1.1,18.0,-6.0,-4.8,-7.9,-7.8
70,1.2,18.0,-3.0,-2.2,-5.1,-5.433333333333334
71,0.7,17.0,-0.7,0.5,-3.3,-3.0666666666666664
72,0.2,17.0,-0.3,0.7,-0.7,-0.7
73,0.0,16.0,-3.1,-0.2,-4.8,-2.7
74,0.1,16.0,-5.4,-2.5,-7.4,-12.3
75,2.6,16.0,-1.4,0.6,-7.4,-11.5
76,3.4,15.0,1.3,2.0,0.4,0.0
77,0.9,12.0,1.9,3.2,0.8,0.2
78,6.0,10.0,1.1,2.2,0.9,0.6
79,2.2,12.0,0.1,1.0,0.0,-0.1
80,3.0,13.0,0.7,1.4,-0.2,-0.2
81,-1.0,10.0,1.0,1.7,0.5,0.1
82,-1.0,9.0,0.6,1.4,0.3,0.1
83,1.2,9.0,0.2,0.9,-0.2,-0.4
84,1.8,10.0,1.2,2.8,0.0,-0.2
85,1.4,7.0,1.6,2.6,1.1,1.0
86,0.4,6.0,1.1,2.1,0.6,0.1
87,0.0,5.0,0.5,1.8,-1.1,-3.1
88,0.6,5.0,-1.9,0.7,-2.9,-1.3
89,0.8,6.0,-2.0,-0.3,-4.7,-5.4
90,1.5,5.0,1.7,2.2,-0.4,-0.6
91,0.1,4.0,2.1,3.0,1.2,0.8
92,-1.0,-1.0,3.3,4.8,1.6,1.3
93,-1.0,-1.0,1.7,4.8,0.4,0.0
94,-1.0,-1.0,0.1,1.5,-1.3,-4.4
95,0.2,-1.0,0.8,1.5,0.5,0.2
96,-1.0,-1.0,0.7,1.2,0.2,-0.1
97,-1.0,-1.0,-0.1,2.0,-1.6,-2.7
98,3.5,-1.0,0.6,1.4,0.2,-0.2
99,3.1,-1.0,0.7,1.2,0.2,0.0
100,-1.0,0.0,1.2,2.0,0.4,0.1
101,-1.0,-1.0,1.2,3.3,0.3,0.4
102,-1.0,-1.0,0.5,2.5,-1.6,-5.7
103,3.0,-1.0,1.5,2.7,0.1,0.1
104,0.4,-1.0,3.9,8.0,0.6,0.0
105,-1.0,-1.0,3.2,6.1,0.5,-1.0
106,1.6,-1.0,4.3,9.6,2.4,1.3
107,-1.0,-1.0,4.5,8.7,1.3,-0.4
108,-1.0,-1.0,5.5,11.7,0.0,-1.7
109,-1.0,-1.0,5.1,11.2,1.1,-1.0
110,9.3,-1.0,4.4,8.5,0.9,-0.3
111,3.2,5.0,0.7,4.4,0.1,0.0
112,0.1,5.0,-1.9,1.1,-3.4,-3.2
113,-1.0,6.0,-4.7,-0.8,-10.0,-17.1
114,0.7,6.0,-2.3,1.1,-7.7,-13.9
115,-1.0,6.0,-2.5,1.5,-5.3,-10.1
116,6.7,6.0,-3.1,-0.2,-9.5,-14.4
117,0.4,9.0,4.4,9.0,-1.6,-7.8500000000000005
118,-1.0,0.0,3.2,6.8,0.7,-1.3
119,0.2,-1.0,2.4,4.7,0.9,-1.1
120,-1.0,-1.0,3.7,8.7,0.6,-2.3
121,-1.0,-1.0,4.8,8.8,0.6,-2.7
122,-1.0,-1.0,3.6,6.8,0.0,-1.3
123,-1.0,-1.0,4.6,10.5,-2.7,-6.8
124,-1.0,-1.0,3.6,8.2,-0.3,-4.8
125,-1.0,-1.0,3.4,7.9,-1.2,-6.0
126,-1.0,-1.0,4.3,9.5,-1.5,-3.7
127,-1.0,-1.0,1.2,4.9,-2.2,-3.6
128,-1.0,-1.0,0.7,5.0,-3.2,-6.4
129,-1.0,-1.0,0.6,4.5,-5.2,-9.3
130,-1.0,-1.0,2.7,6.4,0.2,-0.9
131,-1.0,-1.0,2.2,7.0,-3.0,-5.2
132,0.9,-1.0,3.3,9.4,-1.8,-3.8
133,2.4,-1.0,3.6,5.2,1.8,0.6
134,0.2,-1.0,2.9,4.1,2.2,0.7
135,-1.0,-1.0,2.3,7.2,-1.3,-3.8
136,-1.0,-1.0,2.1,5.5,-1.5,-3.1
